B	eps
10.0977	-0.00346249
10.0977	-0.00346249
10.0977	-0.00346249
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0943	-0.00313838
10.0981	-0.00370763
10.0981	-0.00370763
10.0981	-0.00370763
10.0981	-0.00370763
10.0981	-0.00370763
10.0981	-0.00370763
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0962	-0.00266278
10.0971	-0.00227569
10.0971	-0.00227569
10.0982	-0.00199141
10.0982	-0.00199141
10.0974	-0.00288803
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0986	-0.00289116
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0968	-0.00258647
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0969	-0.00343954
10.0967	-0.00321737
10.0967	-0.00321737
10.0953	-0.00386383
10.0953	-0.00386383
10.0953	-0.00386383
10.0953	-0.00386383
10.0956	-0.00380514
10.0956	-0.00380514
10.0956	-0.00380514
10.0958	-0.00342589
10.0958	-0.00342589
10.0958	-0.00342589
10.0958	-0.00342589
10.0958	-0.00342589
10.0958	-0.00342589
10.0967	-0.00385306
10.0967	-0.00385306
10.0967	-0.00385306
10.0954	-0.00397237
10.0954	-0.00397237
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.00344523
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0955	-0.0036042
10.0956	-0.0026945
10.0983	-0.00231787
10.0983	-0.00231787
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.0993	-0.00216242
10.1008	-0.00181422
10.1009	-0.000987513
10.1009	-0.000987513
10.1009	-0.000987513
10.1009	-0.000987513
10.1009	-0.000987513
10.1	-0.00169158
10.0975	-0.000965943
10.0975	-0.000965943
10.0983	-0.000587508
10.0983	-0.000587508
10.1014	5.97146e-05
10.103	-0.00117894
10.0993	-0.00183646
10.0999	-0.00166727
10.0999	-0.00166727
10.0983	-0.0020388
10.0983	-0.0020388
10.0983	-0.0020388
10.0983	-0.0020388
10.0983	-0.0020388
10.0982	-0.00178267
10.0982	-0.00178267
10.0982	-0.00178267
10.0982	-0.00178267
10.0998	-0.00137131
10.0998	-0.00137131
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1022	-0.00128235
10.1015	-0.00153155
10.1015	-0.00153155
10.1015	-0.00153155
10.1015	-0.00153155
10.1001	-0.00215874
10.1001	-0.00215874
10.1001	-0.00215874
10.1001	-0.00215874
10.0985	-0.00269034
10.0985	-0.00269034
