B	alpha
10.0959	1.1267
10.0966	1.12686
10.0966	1.12686
10.0966	1.12686
10.0966	1.12686
10.098	1.12719
10.098	1.12719
10.0965	1.12693
10.0985	1.12728
10.0984	1.12731
10.0984	1.12731
10.0984	1.12731
10.0986	1.1274
10.0986	1.1274
10.0986	1.1274
10.0991	1.12745
10.0988	1.12741
10.1	1.12753
10.0995	1.12765
10.0995	1.12765
10.0998	1.12765
10.0994	1.12749
10.0994	1.12749
10.0994	1.12749
10.0989	1.12731
10.0983	1.12721
10.0983	1.12721
10.0978	1.1272
10.0992	1.12742
10.0992	1.12742
10.0985	1.12721
10.0969	1.12688
10.0969	1.12688
10.0964	1.12676
10.0967	1.12691
10.0966	1.12685
10.0966	1.12683
10.0972	1.12696
10.0972	1.12696
10.0972	1.12696
10.0972	1.12696
10.0972	1.12696
10.0973	1.12692
10.0963	1.12669
10.0953	1.12652
10.0957	1.12674
10.0957	1.12677
10.0956	1.12673
10.0956	1.12673
10.0956	1.12673
10.0955	1.12665
10.0948	1.1266
10.0951	1.12661
10.0951	1.12661
10.0951	1.12661
10.0968	1.12691
10.0974	1.12699
10.0974	1.12699
10.0969	1.12705
10.0969	1.12705
10.0969	1.12705
10.0978	1.12711
10.0974	1.12702
10.0975	1.12719
10.0969	1.12702
10.0982	1.1273
10.0982	1.1273
10.0982	1.1273
10.0982	1.1273
10.0982	1.1273
10.0982	1.1273
10.0981	1.12723
10.0966	1.12699
10.0959	1.12679
10.0967	1.1271
10.0972	1.12718
10.0972	1.12714
10.0968	1.12698
10.0981	1.12723
10.0981	1.12723
10.0981	1.12723
10.0981	1.12723
10.0975	1.12712
10.0975	1.12712
10.0971	1.12718
10.0971	1.12712
10.0969	1.12701
10.0974	1.12713
10.0974	1.12713
10.0974	1.12713
10.0978	1.12717
10.0978	1.12717
10.0971	1.12713
10.0976	1.12722
10.0976	1.12722
10.0976	1.12722
10.0975	1.12723
10.098	1.12727
10.098	1.12727
10.0976	1.12716
10.0976	1.12716
10.0976	1.12716
10.0973	1.12707
10.0973	1.12707
10.0973	1.12707
10.0972	1.12712
10.0972	1.12712
10.0972	1.12712
10.0964	1.1268
10.096	1.12689
10.096	1.12689
10.0971	1.12709
10.0971	1.12709
10.0973	1.1271
10.0968	1.12695
10.0968	1.12695
10.0951	1.1266
10.096	1.12672
10.0949	1.12656
10.0947	1.12658
10.0947	1.12658
10.0951	1.12657
10.0951	1.12657
10.0959	1.12676
10.0959	1.12676
10.0971	1.12698
